gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
1836806272																										TWBBS_2016_A41-02_01_01:027578																												Event									HumanObservation				TWBBS_2016_A41-02_01_01:027578			蔡乙榮	3																NA									TWBBS_2016_A41-02_01_01	TWBBS_2016_A41-02		2016-03-20	06:00+0800								Point count	6 observer-minutes	31415.93	square metre			A41-02_01							Taiwan	TW				屏東縣大茄苳												21.95108611	120.7296861	wgs84	100	0.00001																																																		Pycnonotus taivanus												Pycnonotidae	Pycnonotus							烏頭翁						
1836806268																										TWBBS_2016_A41-02_01_01:027571																												Event									HumanObservation				TWBBS_2016_A41-02_01_01:027571			蔡乙榮	7																NA									TWBBS_2016_A41-02_01_01	TWBBS_2016_A41-02		2016-03-20	06:00+0800								Point count	6 observer-minutes	31415.93	square metre			A41-02_01							Taiwan	TW				屏東縣大茄苳												21.95108611	120.7296861	wgs84	100	0.00001																																																		Passer montanus												Passeridae	Passer							麻雀						
1836806242																										TWBBS_2016_A41-02_01_01:027569																												Event									HumanObservation				TWBBS_2016_A41-02_01_01:027569			蔡乙榮	5																NA									TWBBS_2016_A41-02_01_01	TWBBS_2016_A41-02		2016-03-20	06:00+0800								Point count	6 observer-minutes	31415.93	square metre			A41-02_01							Taiwan	TW				屏東縣大茄苳												21.95108611	120.7296861	wgs84	100	0.00001																																																		Pycnonotus taivanus												Pycnonotidae	Pycnonotus							烏頭翁						
1836806219																										TWBBS_2016_A41-01_01_01:027407																												Event									HumanObservation				TWBBS_2016_A41-01_01_01:027407			蔡乙榮	1																NA									TWBBS_2016_A41-01_01_01	TWBBS_2016_A41-01		2016-03-30	05:58+0800								Point count	6 observer-minutes	31415.93	square metre			A41-01_01							Taiwan	TW				屏東縣大尖山腳下國家公園牌樓												21.95584722	120.7850389	wgs84	100	0.00001																																																		Hypothymis azurea												Monarchidae	Hypothymis							黑枕藍鶲						
1836806185																										TWBBS_2016_A41-01_01_01:027406																												Event									HumanObservation				TWBBS_2016_A41-01_01_01:027406			蔡乙榮	1																NA									TWBBS_2016_A41-01_01_01	TWBBS_2016_A41-01		2016-03-30	05:58+0800								Point count	6 observer-minutes	31415.93	square metre			A41-01_01							Taiwan	TW				屏東縣大尖山腳下國家公園牌樓												21.95584722	120.7850389	wgs84	100	0.00001																																																		Dicrurus macrocercus												Dicruridae	Dicrurus							大卷尾						
1836806159																										TWBBS_2016_A41-01_01_01:027408																												Event									HumanObservation				TWBBS_2016_A41-01_01_01:027408			蔡乙榮	1																NA									TWBBS_2016_A41-01_01_01	TWBBS_2016_A41-01		2016-03-30	05:58+0800								Point count	6 observer-minutes	31415.93	square metre			A41-01_01							Taiwan	TW				屏東縣大尖山腳下國家公園牌樓												21.95584722	120.7850389	wgs84	100	0.00001																																																		Pomatorhinus musicus												Timaliidae	Pomatorhinus							小彎嘴						
1836806150																										TWBBS_2016_A41-01_01_01:027409																												Event									HumanObservation				TWBBS_2016_A41-01_01_01:027409			蔡乙榮	1																NA									TWBBS_2016_A41-01_01_01	TWBBS_2016_A41-01		2016-03-30	05:58+0800								Point count	6 observer-minutes	31415.93	square metre			A41-01_01							Taiwan	TW				屏東縣大尖山腳下國家公園牌樓												21.95584722	120.7850389	wgs84	100	0.00001																																																		Alauda gulgula												Alaudidae	Alauda							小雲雀						
1836806144																										TWBBS_2016_A41-01_01_01:027401																												Event									HumanObservation				TWBBS_2016_A41-01_01_01:027401			蔡乙榮	3																NA									TWBBS_2016_A41-01_01_01	TWBBS_2016_A41-01		2016-03-30	05:58+0800								Point count	6 observer-minutes	31415.93	square metre			A41-01_01							Taiwan	TW				屏東縣大尖山腳下國家公園牌樓												21.95584722	120.7850389	wgs84	100	0.00001																																																		Pycnonotus taivanus												Pycnonotidae	Pycnonotus							烏頭翁						
1836806137																										TWBBS_2016_A41-01_01_01:027403																												Event									HumanObservation				TWBBS_2016_A41-01_01_01:027403			蔡乙榮	3																NA									TWBBS_2016_A41-01_01_01	TWBBS_2016_A41-01		2016-03-30	05:58+0800								Point count	6 observer-minutes	31415.93	square metre			A41-01_01							Taiwan	TW				屏東縣大尖山腳下國家公園牌樓												21.95584722	120.7850389	wgs84	100	0.00001																																																		Dendrocitta formosae												Corvidae	Dendrocitta							樹鵲						
1836806125																										TWBBS_2016_A41-01_01_01:027410																												Event									HumanObservation				TWBBS_2016_A41-01_01_01:027410			蔡乙榮	1																NA									TWBBS_2016_A41-01_01_01	TWBBS_2016_A41-01		2016-03-30	05:58+0800								Point count	6 observer-minutes	31415.93	square metre			A41-01_01							Taiwan	TW				屏東縣大尖山腳下國家公園牌樓												21.95584722	120.7850389	wgs84	100	0.00001																																																		Pomatorhinus musicus												Timaliidae	Pomatorhinus							小彎嘴						
1836806122																										TWBBS_2016_A41-01_01_01:027400																												Event									HumanObservation				TWBBS_2016_A41-01_01_01:027400			蔡乙榮	1																NA									TWBBS_2016_A41-01_01_01	TWBBS_2016_A41-01		2016-03-30	05:58+0800								Point count	6 observer-minutes	31415.93	square metre			A41-01_01							Taiwan	TW				屏東縣大尖山腳下國家公園牌樓												21.95584722	120.7850389	wgs84	100	0.00001																																																		Amaurornis phoenicurus												Rallidae	Amaurornis							白腹秧雞						
1836806098																										TWBBS_2016_A41-01_01_01:027402																												Event									HumanObservation				TWBBS_2016_A41-01_01_01:027402			蔡乙榮	2																NA									TWBBS_2016_A41-01_01_01	TWBBS_2016_A41-01		2016-03-30	05:58+0800								Point count	6 observer-minutes	31415.93	square metre			A41-01_01							Taiwan	TW				屏東縣大尖山腳下國家公園牌樓												21.95584722	120.7850389	wgs84	100	0.00001																																																		Pomatorhinus musicus												Timaliidae	Pomatorhinus							小彎嘴						
1836806086																										TWBBS_2016_A41-01_01_01:027405																												Event									HumanObservation				TWBBS_2016_A41-01_01_01:027405			蔡乙榮	3																NA									TWBBS_2016_A41-01_01_01	TWBBS_2016_A41-01		2016-03-30	05:58+0800								Point count	6 observer-minutes	31415.93	square metre			A41-01_01							Taiwan	TW				屏東縣大尖山腳下國家公園牌樓												21.95584722	120.7850389	wgs84	100	0.00001																																																		Streptopelia tranquebarica												Columbidae	Streptopelia							紅鳩						
1836806063																										TWBBS_2016_A41-01_01_01:027404																												Event									HumanObservation				TWBBS_2016_A41-01_01_01:027404			蔡乙榮	2																NA									TWBBS_2016_A41-01_01_01	TWBBS_2016_A41-01		2016-03-30	05:58+0800								Point count	6 observer-minutes	31415.93	square metre			A41-01_01							Taiwan	TW				屏東縣大尖山腳下國家公園牌樓												21.95584722	120.7850389	wgs84	100	0.00001																																																		Streptopelia chinensis												Columbidae	Streptopelia							珠頸斑鳩						
1836805928																										TWBBS_2016_A40-18_01_01:030649																												Event									HumanObservation				TWBBS_2016_A40-18_01_01:030649			葉建緯	5																NA									TWBBS_2016_A40-18_01_01	TWBBS_2016_A40-18		2016-04-09	06:50+0800								Point count	6 observer-minutes	31415.93	square metre			A40-18_01							Taiwan	TW				林後四林												22.543971	120.582914	wgs84	100	0.00001																																																		Pycnonotus sinensis												Pycnonotidae	Pycnonotus							白頭翁						
1836805894																										TWBBS_2016_A40-18_01_01:030652																												Event									HumanObservation				TWBBS_2016_A40-18_01_01:030652			葉建緯	3																NA									TWBBS_2016_A40-18_01_01	TWBBS_2016_A40-18		2016-04-09	06:50+0800								Point count	6 observer-minutes	31415.93	square metre			A40-18_01							Taiwan	TW				林後四林												22.543971	120.582914	wgs84	100	0.00001																																																		Streptopelia tranquebarica												Columbidae	Streptopelia							紅鳩						
1836805888																										TWBBS_2016_A40-18_01_01:030656																												Event									HumanObservation				TWBBS_2016_A40-18_01_01:030656			葉建緯	4																NA									TWBBS_2016_A40-18_01_01	TWBBS_2016_A40-18		2016-04-09	06:50+0800								Point count	6 observer-minutes	31415.93	square metre			A40-18_01							Taiwan	TW				林後四林												22.543971	120.582914	wgs84	100	0.00001																																																		Streptopelia chinensis												Columbidae	Streptopelia							珠頸斑鳩						
1836805878																										TWBBS_2016_A40-18_01_01:030648																												Event									HumanObservation				TWBBS_2016_A40-18_01_01:030648			葉建緯	5																NA									TWBBS_2016_A40-18_01_01	TWBBS_2016_A40-18		2016-04-09	06:50+0800								Point count	6 observer-minutes	31415.93	square metre			A40-18_01							Taiwan	TW				林後四林												22.543971	120.582914	wgs84	100	0.00001																																																		Pycnonotus sinensis												Pycnonotidae	Pycnonotus							白頭翁						
1836805877																										TWBBS_2016_A40-18_01_01:030650																												Event									HumanObservation				TWBBS_2016_A40-18_01_01:030650			葉建緯	6																NA									TWBBS_2016_A40-18_01_01	TWBBS_2016_A40-18		2016-04-09	06:50+0800								Point count	6 observer-minutes	31415.93	square metre			A40-18_01							Taiwan	TW				林後四林												22.543971	120.582914	wgs84	100	0.00001																																																		Pycnonotus sinensis												Pycnonotidae	Pycnonotus							白頭翁						
1836805872																										TWBBS_2016_A40-18_01_01:030655																												Event									HumanObservation				TWBBS_2016_A40-18_01_01:030655			葉建緯	6																NA									TWBBS_2016_A40-18_01_01	TWBBS_2016_A40-18		2016-04-09	06:50+0800								Point count	6 observer-minutes	31415.93	square metre			A40-18_01							Taiwan	TW				林後四林												22.543971	120.582914	wgs84	100	0.00001																																																		Hypsipetes leucocephalus												Pycnonotidae	Hypsipetes							紅嘴黑鵯						
1836805861																										TWBBS_2016_A40-18_01_01:030646																												Event									HumanObservation				TWBBS_2016_A40-18_01_01:030646			葉建緯	2																NA									TWBBS_2016_A40-18_01_01	TWBBS_2016_A40-18		2016-04-09	06:50+0800								Point count	6 observer-minutes	31415.93	square metre			A40-18_01							Taiwan	TW				林後四林												22.543971	120.582914	wgs84	100	0.00001																																																		Acridotheres javanicus												Sturnidae	Acridotheres							白尾八哥						
1836805860																										TWBBS_2016_A40-18_01_01:030651																												Event									HumanObservation				TWBBS_2016_A40-18_01_01:030651			葉建緯	1																NA									TWBBS_2016_A40-18_01_01	TWBBS_2016_A40-18		2016-04-09	06:50+0800								Point count	6 observer-minutes	31415.93	square metre			A40-18_01							Taiwan	TW				林後四林												22.543971	120.582914	wgs84	100	0.00001																																																		Lanius cristatus												Laniidae	Lanius							紅尾伯勞						
1836805830																										TWBBS_2016_A40-18_01_01:030654																												Event									HumanObservation				TWBBS_2016_A40-18_01_01:030654			葉建緯	3																NA									TWBBS_2016_A40-18_01_01	TWBBS_2016_A40-18		2016-04-09	06:50+0800								Point count	6 observer-minutes	31415.93	square metre			A40-18_01							Taiwan	TW				林後四林												22.543971	120.582914	wgs84	100	0.00001																																																		Hypsipetes leucocephalus												Pycnonotidae	Hypsipetes							紅嘴黑鵯						
1836805809																										TWBBS_2016_A40-18_01_01:030653																												Event									HumanObservation				TWBBS_2016_A40-18_01_01:030653			葉建緯	2																NA									TWBBS_2016_A40-18_01_01	TWBBS_2016_A40-18		2016-04-09	06:50+0800								Point count	6 observer-minutes	31415.93	square metre			A40-18_01							Taiwan	TW				林後四林												22.543971	120.582914	wgs84	100	0.00001																																																		Streptopelia tranquebarica												Columbidae	Streptopelia							紅鳩						
1836805803																										TWBBS_2016_A40-18_01_01:030647																												Event									HumanObservation				TWBBS_2016_A40-18_01_01:030647			葉建緯	2																NA									TWBBS_2016_A40-18_01_01	TWBBS_2016_A40-18		2016-04-09	06:50+0800								Point count	6 observer-minutes	31415.93	square metre			A40-18_01							Taiwan	TW				林後四林												22.543971	120.582914	wgs84	100	0.00001																																																		Acridotheres javanicus												Sturnidae	Acridotheres							白尾八哥						
