"name","output","price","value"
"茭白筍","43331","68887","2984967"
"蒜頭","34667","95479","3310009"
"蒜","9830","68280","671168"
"洋蔥","60422","18200","1099684"
"馬鈴薯","58023","24980","1449420"
"蔥頭","9772","65810","643108"
"蔥","101228","45845","4640782"
"芋","42715","49216","2102244"
"薑","23417","37019","866878"
"其他根菜類","14812","17876","264773"
"胡蘿蔔","98988","23940","2369772"
"蘿蔔","88197","15203","1340860"
"其他特用作物","19916","148221","2951987"
"山藥","10959","42000","460292"
"香花作物","142","757480","107495"
"樹薯","525","10000","5246"
"芝麻","1470","243210","357440"
"菸草","1371","206000","282510"
"茶葉","13018","584000","7602478"
"生食用甘蔗","46602","11040","514485"
"製糖甘蔗","526843","969","510511"
"其他豆類","488","2874","14014"
"綠豆","187","82680","15456"
"紅豆","11992","83770","1004552"
"花豆","10","20000","210"
"落花生","61832","67610","4180451"
"其他糧食作物","1010","46621","47100"
"甘藷","242030","18080","4375907"
"蜀黍","1582","26400","41752"
"栗","420","85000","35662"
"小麥","3638","31780","115629"
"食用玉米","99750","23950","2389011"
"硬質玉米","65105","9000","585949"
"稻米(糙米)","1264128","30042","37976695"
"其他綠肥","3009.33","14000","42130.62"
"青皮豆","7072.46","14000","99014.44"
"油菜","7157.63","14000","100206.82"
"太陽麻","17846.85","14000","249855.9"
"大豆","4022.15","14000","56310.1"
"田菁","21970.28","14000","307583.92"
"其他","443626.538","1684.21741","747163.5388"
"狼尾草","285088.322","1160","330702.4535"
"盤固拉","212628.133","1050","223259.5397"
"盆花類(公頃)","1056.6","1101073.56","1163394.324"
"苗圃類(公頃)","9468.74","449014.5425","4251601.959"
"種籽類","4.08","900000","3672"
"球根類","13.69","43000","588.67"
"蘭花","76880.462","77200","5935171.666"
"其他切花","16030.138","65954.86696","1057265.619"
"玉蘭花","124.203","86700","10768.4001"
"天堂鳥","555.439","111720","62053.64508"
"非洲菊","5375.894","57000","306425.958"
"火鶴花","3694.045","122160","451264.5372"
"滿天星","325.943","70850","23093.06155"
"玫瑰","7574.696","64200","486295.4832"
"百合","5982.784","278060","1663572.919"
"香石竹","2335.48","47760","111542.5248"
"洋桔梗","1648.569","152880","252033.2287"
"大理花","150.88","109440","16512.3072"
"文心蘭","5282.163","78960","417079.5905"
"夜來香","940.237","47520","44680.06224"
"唐菖蒲","2263.159","47040","106458.9994"
"菊花","15502.929","74676","1157696.726"
"其他青果類","85781.15759","48937.68098","4197930.924"
"可可椰子","20348.13863","8100","164819.9229"
"百香果","11546.7375","69490","802382.7889"
"番荔枝","52816.50688","91313.60801","4822865.806"
"棗","22956.21905","71380","1638614.916"
"木瓜","125521.0367","37400","4694486.773"
"蘋果","1451.0405","73600","106796.5808"
"梨","117694.4455","63340","7454766.178"
"楊桃","9751.9155","30050","293045.0608"
"橄欖","1481.2665","18800","27847.8102"
"荔枝","59796.43722","75908","4539027.956"
"梅","15565.147","41830","651090.099"
"柿","63115.483","68080","4296902.083"
"桃","23254.494","72090","1676416.472"
"李","12787.4086","54500","696913.7687"
"枇杷","6576.7215","121560","799466.2655"
"葡萄","92601.736","71720","6641396.506"
"蓮霧","50157.55149","59250","2971834.926"
"番石榴","172981.7823","33350","5768942.438"
"檳榔","102164.9029","111600","11401603.17"
"芒果","150558.941","51303.1855","7724153.279"
"龍眼","68544.93245","58380","4001653.156"
"其他雜柑類","58334.41088","34824.65025","2031475.456"
"葡萄柚","8849.806","21340","188854.86"
"檸檬","36574.67061","41180","1506144.936"
"柳橙","153966.4825","27480","4230998.939"
"晚崙西亞橙","1308.668","33900","44363.8452"
"溫州蜜柑","190.266","30100","5727.0066"
"白柚","11661.81395","30010","349971.0366"
"斗柚","723.6505","30010","21716.75151"
"文旦柚","78240.66944","39130","3061557.395"
"桶柑","56910.485","32060","1824550.149"
"椪柑","127045.148","31480","3999381.259"
"鳳梨","553530.8234","23520","13019044.97"
"香蕉","356016.9459","34610","12321746.5"
"其他菇類","9994.46","176957.638","1768596.034"
"金針菇","20889.95","41800","873199.91"
"香菇","5276.346","1488820","7855529.452"
"洋菇","4945.331","99310","491120.8216"
"草莓","8907.618","183950","1638556.331"
"洋香瓜","34636.968","32850","1137824.399"
"香瓜","31475.502","32100","1010363.614"
"西瓜","210661.301","12710","2677505.136"
"其他果菜類","176898.136","25161.87604","4451088.97"
"毛豆","78570.015","17140","1346690.057"
"豌豆","4096.294","61800","253150.9692"
"菜豆","10692.049","37490","400844.917"
"番椒","27855.456","41247.54626","1148969.21"
"蕃茄","111124.819","46040","5116186.667"
"茄子","32014.505","23560","754261.7378"
"苦瓜","27878.774","35350","985514.6609"
"冬瓜","25904.271","9180","237801.2078"
"胡瓜","51264.255","23760","1218038.699"
"越瓜","3082.836","13200","40693.4352"
"金針菜","404.414","642090","259670.1853"
"花椰菜","69962.673","27689.46882","1937229.253"
"其他葉菜類","325693.094","20894","6804882.072"
"不結球白菜","98351.084","19570","1924730.714"
"結球白菜","85211.801","12960","1104344.941"
"甘藍","422320.252","13960","5895590.718"
"芹菜","22561.097","20600","464758.5982"
"甕菜","35108.14","30630","1075362.328"
"大芥菜","39207.379","6480","254063.8159"
"其他莖菜類","32155.998","33396.68981","752587.8974"
"荸薺","122.912","62000","7620.544"
"蘆筍","2555.85","140270","358509.0795"
"竹筍","257895.402","45365","11699424.91"
"韭菜","23938.635","35020","838330.9977"
"茭白筍","44793.308","65170","2919179.882"
"蒜頭","36543.124","104600","3822410.77"
"青蒜","7195.085","82850","596112.7923"
"洋蔥","61167.653","16730","1023334.835"
"馬鈴薯","54929.287","20530","1127698.262"
"蔥頭","15499.951","53900","835447.3589"
"蔥","111883.327","50410","5640038.514"
"芋","44129.548","34860","1538356.043"
"薑","22097.702","38030","840375.6071"
"其他根菜類","12201.835","22504.42027","274595.2229"
"胡蘿蔔","114447.221","10700","1224585.265"
"蘿蔔","97103.958","8460","821499.4847"
"其他特用作物","21975.687","147505.5575","3241535.962"
"山藥","14710.936","42180","620507.2805"
"香花作物","157.688","875835.1935","138108.7"
"樹薯","565.248","10000","5652.48"
"芝麻","3415.274","265300","906072.1922"
"菸草","1334.651","207410","276819.9639"
"茶葉","13443.206","568330","7640177.266"
"生食用甘蔗","46561.271","10780","501930.5014"
"製糖甘蔗","455143.946","1034","470618.8402"
"其他豆類","499.34","29323.32078","14642.307"
"綠豆","378.051","88470","33446.17197"
"紅豆","11640.669","78510","913908.9232"
"花豆","13.853","20000","277.06"
"落花生","63287.118","72480","4587050.313"
"其他糧食作物","1279.11","44601.78523","57050.5895"
"甘藷","241693.572","16720","4041116.524"
"蜀黍(高粱)","2042.884","26000","53114.984"
"栗","385.014","85000","32726.19"
"小麥","5379.411","30970","166600.3587"
"食用玉米","110346.566","17950","1980720.86"
"硬質玉米","74951.967","7640","572633.0279"
"稻米(糙米)","1396070.975","29007.37622","40496356"
