"name","output","price","value"
"天堂鳥","456","101760","46439"
"非洲菊","5435","48120","261522"
"火鶴花","2971","127560","378983"
"滿天星","237","60000","14220"
"玫瑰","14253","50760","723502"
"百合","6062","144840","878062"
"香石竹","4089","39000","159471"
"洋桔梗","1553","75000","116439"
"大理花","3630","39600","143767"
"夜來香","2004","48000","96190"
"唐菖蒲","6980","62402","435565"
"菊花","21863","48000","1049400"
"其他青果類","32494","17023","553144"
"可可椰子","38556","5300","204347"
"百香果","5035","21450","107995"
"番荔枝","75554","33500","2531049"
"棗","32844","32250","1059203"
"蘋果","5801","39500","229156"
"梨","113183","34500","3904824"
"楊桃","20928","21890","458107"
"橄欖","2400","25000","60002"
"荔枝","70537","32250","2274826"
"梅","45937","17720","813996"
"枇杷","5652","102500","579304"
"葡萄","71105","35700","2538435"
"蓮霧","84991","31800","2702705"
"木瓜","88475","16800","1486386"
"柿","27111","30250","820107"
"桃","25468","42500","1082387"
"李","29202","20500","598640"
"番石榴","137166","15300","2098646"
"檳榔","138095","73000","10080945"
"芒果","149996","40500","6074843"
"龍眼","102790","27400","2816447"
"其他雜柑類","35991","18390","661857"
"葡萄柚","8180","17360","142011"
"檸檬","16581","27631","458142"
"白柚","9504","27600","262312"
"斗柚","766","15000","11490"
"文旦柚","69830","26500","1850496"
"桶柑","43656","20350","888391"
"柳橙","193847","10200","1977240"
"椪柑","93207","21500","2003960"
"鳳梨","439872","17500","7697767"
"香蕉","148715","22000","3271740"
"香菇","4526","570370","2581519"
"洋菇","5117","54000","276326"
"其他果菜類","95164","15288","1454861"
"草莓","5750","99510","572152"
"香瓜","33272","23000","765267"
"洋香瓜","60307","28660","1728389"
"西瓜","212488","11500","2443611"
"番椒","30180","30500","920494"
"蕃茄","118422","12800","1515808"
"毛豆","60629","12000","727550"
"荷蘭豆","7852","40500","318012"
"菜豆","15138","23000","348177"
"茄子","24844","24500","608679"
"苦瓜","28342","25250","715636"
"冬瓜","28199","10300","290451"
"胡瓜","51363","13500","693400"
"越瓜","5130","7640","39190"
"金針菜","673","320000","215433"
"花椰菜","72548","18750","1360272"
"其他葉菜類","219925","13476","2963725"
"芹菜","31710","18500","586640"
"甕菜","43942","15200","667921"
"不結球白菜","73720","16500","1216382"
"結球白菜","109382","10300","1126632"
"大芥菜","51922","9300","482877"
"甘藍","316115","9000","2845032"
"其他莖菜類","42561","17860","760137"
"茭白筍","45801","32500","1488546"
"蘆筍","4635","46000","213230"
"竹筍","232856","13800","3213410"
"荸薺","19","25000","475"
"蒜頭","55622","27500","1529610"
"蒜","27392","28000","766965"
"韭菜","32316","23500","759416"
"洋蔥","54000","9000","486004"
"蔥頭","8544","25000","213600"
"蔥","91696","51800","4749871"
"馬鈴薯","41729","12000","500754"
"芋","37740","18500","698182"
"薑","36698","21500","789013"
"其他根菜類","15661","8649","135455"
"胡蘿蔔","97934","7500","734506"
"蘿蔔","132390","7400","979684"
"其他特用作物","44768","39868","1784833"
"香花作物","119","150000","17812"
"樹薯","711","5000","3557"
"芝麻","451","150430","67901"
"生食用甘蔗","64754","10420","674735"
"製糖甘蔗","875458","749","655805"
"菸草","2743","165980","455254"
"茶葉","18803","200000","3760540"
"其他豆類","661","28000","18501"
"落花生","53948","45940","2478388"
"紅豆","4850","76630","371663"
"綠豆","100","82590","8248"
"花豆","23","25000","577"
"大豆","213","25000","5328"
"其他糧食作物","236","34600","8168"
"蜀黍","8325","14000","116553"
"栗","797","22000","17525"
"食用玉米","91653","13110","1201570"
"飼料玉米","41820","15000","627307"
"小麥","196","22000","4321"
"甘藷","213991","12150","2599989"
"稻米","1187596","23695","28139682"
"盆花類","824","1494501","1231155"
"苗圃類","7695","372085","2863314"
"種籽類","1","950000","988"
"球根類","99","39500","3916"
"蘭花","57785","48000","2773696"
"其他切花","28865","59221","1709401"
"天堂鳥","471","94800","44626"
"非洲菊","6106","34080","208097"
"火鶴花","3770","127680","481299"
"滿天星","369","51000","18813"
"玫瑰","13419","44400","595796"
"百合","5293","137000","725160"
"香石竹","4511","35280","159147"
"洋桔梗","1601","68500","109679"
"大理花","3746","38500","144221"
"夜來香","2919","45840","133813"
"唐菖蒲","6875","56160","386078"
"菊花","22187","42000","931864"
"其他青果類","36790","20420","751266"
"可可椰子","44826","4800","215164"
"百香果","5773","20500","118353"
"番荔枝","85005","32000","2720159"
"棗","30230","35000","1058035"
"木瓜","129283","16200","2094379"
"蘋果","5930","39000","231262"
"梨","126628","31850","4033099"
"楊桃","23977","18100","433984"
"橄欖","2499","24000","59984"
"荔枝","84652","30500","2581886"
"梅","48001","18840","904343"
"柿","26395","29300","773382"
"桃","28508","41500","1183069"
"李","26297","19500","512783"
"枇杷","6959","97500","678537"
"葡萄","102291","37480","3833885"
"蓮霧","69234","32800","2270869"
"番石榴","170169","14200","2416396"
"檳榔","141563","69500","9838625"
"芒果","191332","33450","6400061"
"龍眼","102693","28000","2875406"
"其他雜柑類","47490","22731","1079486"
"葡萄柚","10122","16500","167020"
"檸檬","16918","30100","509227"
"柳橙","228225","9500","2168139"
"白柚","10508","28000","294212"
"斗柚","977","15000","14653"
"文旦柚","73571","27000","1986418"
"桶柑","50535","21500","1086508"
"椪柑","110645","20500","2268213"
"鳳梨","491588","17000","8356999"
"香蕉","214277","17500","3749844"
"香菇","4643","585000","2716432"
"洋菇","4663","56700","264410"
"草莓","6328","92000","582149"
"洋香瓜","73727","25950","1913219"
"香瓜","41171","21000","864597"
"西瓜","236322","10500","2481386"
"其他果菜類","116537","15501","1806420"
"毛豆","57273","13000","744553"
"荷蘭豆","7811","38000","296829"
"菜豆","18911","19550","369703"
"番椒","30234","25900","783072"
"蕃茄","119275","11000","1312020"
"茄子","32431","18560","601910"
"苦瓜","35807","20200","723302"
"冬瓜","37668","7210","271589"
"胡瓜","52946","12000","635352"
"越瓜","7445","6900","51369"
"金針菜","686","310000","212811"
"花椰菜","75871","17400","1320154"
"其他葉菜類","213948","14136","3024369"
"不結球白菜","82256","14850","1221508"
"結球白菜","132830","9500","1261889"
"甘藍","355072","8680","3082021"
"芹菜","33356","17600","587069"
"甕菜","47963","14000","671484"
"大芥菜","53949","9000","485543"
"其他莖菜類","33848","16437","556365"
"荸薺","0","0","0"
"蘆筍","4413","52900","233461"
"竹筍","313356","13500","4230301"
"韭菜","39521","17600","695577"
"茭白筍","46265","30850","1427278"
"蒜頭","43843","45000","1972940"
"蒜","23681","33600","795689"
"洋蔥","48050","11500","552569"
"馬鈴薯","49569","10800","535343"
"蔥頭","7082","25000","177046"
"蔥","102577","41500","4256938"
"芋","42497","18000","764945"
"薑","29824","25800","769471"
"其他根菜類","13333","10434","139110"
"胡蘿蔔","93897","8250","774647"
"蘿蔔","116416","7230","841687"
"其他特用作物","35047","48079","1685033"
"山藥","17377","20000","347533"
"香花作物","104","150000","15547"
"樹薯","917","5000","4587"
"芝麻","571","153480","87654"
"菸草","2193","168984","370599"
"茶葉","19345","225000","4352679"
"生食用甘蔗","63216","10720","677675"
"製糖甘蔗","651041","885","576237"
"其他豆類","600","28000","16813"
"綠豆","71","74620","5317"
"紅豆","7831","52590","411847"
"花豆","30","25000","740"
"落花生","71561","46460","3324721"
"大豆","187","25000","4672"
"其他糧食作物","357","32740","11692"
"甘藷","235203","10380","2441407"
"蜀黍","4732","14000","66252"
"栗","689","22000","15167"
"小麥","271","22000","5958"
"食用玉米","91075","12450","1133884"
"飼料玉米","37358","15000","560363"
"稻米","1261803","23284","29379921"
"蠶","-","-","-"
"盆花類","781","1360373","1062084"
"苗圃類","7915","343160","2716145"
"種籽類","2","930000","1767"
"球根類","154","38000","5854"
"蘭花","58064","49500","2874180"
"其他切花","26411","61208","1616574"
"天堂鳥","408","96000","39208"
"非洲菊","6831","39960","272983"
"火鶴花","3534","135600","479158"
"滿天星","238","58000","13788"
"玫瑰","12822","45600","584705"
"百合","6555","132890","871057"
